inst,stim,mnist_index,cond,acc,rt,conf,sat,noise
30,6,500,1,0.52,4.67,17454.73322,3,Low
31,6,500,1,0.88,4.62,20436.62275,3,Low
32,6,500,1,0.48,4.64,11524.05838,3,Low
33,6,500,1,0.64,5.4,13754.07394,3,Low
34,6,500,1,1,3.3,41484.39357,3,Low
35,6,500,1,1,3.28,51962.23125,3,Low
36,6,500,1,1,3.28,44245.65836,3,Low
37,6,500,1,0.84,4.77,14845.75336,3,Low
38,6,500,1,1,3.01,79164.71488,3,Low
39,6,500,1,0.12,4.6,17891.22909,3,Low
40,6,500,1,1,3.4,19555.02229,3,Low
41,6,500,1,1,3.39,39370.79523,3,Low
42,6,500,1,1,3.07,32467.97125,3,Low
43,6,500,1,0.82,5.37,16701.49385,3,Low
44,6,500,1,1,3.53,30098.55094,3,Low
45,6,500,1,0.99,3.64,27688.73947,3,Low
46,6,500,1,0.27,5.41,12574.74301,3,Low
47,6,500,1,1,3.49,33124.32063,3,Low
48,6,500,1,1,3.11,46248.4816,3,Low
49,6,500,1,0.98,3.34,28220.54836,3,Low
50,6,500,1,1,3.33,28415.3282,3,Low
51,6,500,1,1,3.2,40874.40082,3,Low
52,6,500,1,1,3.11,46813.44986,3,Low
53,6,500,1,1,3.08,69523.24637,3,Low
54,6,500,1,0.97,3.63,27713.10055,3,Low
55,6,500,1,0.8,4.49,16180.147,3,Low
56,6,500,1,0.77,4.58,17251.23676,3,Low
57,6,500,1,0.4,5.47,14942.81914,3,Low
58,6,500,1,0.17,4.15,14486.51772,3,Low
59,6,500,1,0.24,4.3,14053.21961,3,Low
0,2,517,1,0.99,4.88,10927.71494,3,Low
1,2,517,1,1,3.17,49731.90871,3,Low
2,2,517,1,1,3.03,54665.30486,3,Low
3,2,517,1,1,3.07,76883.69156,3,Low
4,2,517,1,1,3.01,97403.0918,3,Low
5,2,517,1,0.67,5.99,19227.58189,3,Low
6,2,517,1,1,3,103511.9582,3,Low
7,2,517,1,0.72,4.22,23930.25139,3,Low
8,2,517,1,1,3.46,36418.10758,3,Low
9,2,517,1,0.97,4,58755.37445,3,Low
10,2,517,1,1,3.02,112446.6544,3,Low
11,2,517,1,0.96,3.6,73236.75441,3,Low
12,2,517,1,1,3.12,62515.73273,3,Low
13,2,517,1,1,3,64084.3016,3,Low
14,2,517,1,1,3.03,64165.47395,3,Low
15,2,517,1,1,3.03,75371.93164,3,Low
16,2,517,1,1,3.05,74916.7093,3,Low
17,2,517,1,1,3.1,61643.81113,3,Low
18,2,517,1,1,3.02,85090.21137,3,Low
19,2,517,1,0.58,4.74,20419.64168,3,Low
20,2,517,1,1,3.25,43045.04453,3,Low
21,2,517,1,0.55,4.72,21603.54426,3,Low
22,2,517,1,0.52,5.64,14205.91678,3,Low
23,2,517,1,1,3.44,39726.96096,3,Low
24,2,517,1,1,3.92,27668.87603,3,Low
25,2,517,1,1,3.4,39188.92215,3,Low
26,2,517,1,1,3.29,40012.72541,3,Low
27,2,517,1,1,3.06,35600.10982,3,Low
28,2,517,1,1,3,92825.34523,3,Low
29,2,517,1,0.16,3.94,24911.10535,3,Low
30,2,517,1,0.12,4.08,23636.48404,3,Low
31,2,517,1,1,3.26,48355.38148,3,Low
32,2,517,1,1,3.06,64743.74436,3,Low
33,2,517,1,0.44,4.22,18386.17621,3,Low
34,2,517,1,1,3.02,94788.2541,3,Low
35,2,517,1,0.98,3.67,48517.77031,3,Low
36,2,517,1,1,3.01,96471.16398,3,Low
37,2,517,1,1,3.08,46492.87629,3,Low
38,2,517,1,1,3.01,93269.58457,3,Low
39,2,517,1,0.95,3.9,34225.07486,3,Low
40,2,517,1,1,3.2,29456.52502,3,Low
41,2,517,1,1,3.09,65346.89428,3,Low
42,2,517,1,0.98,3.96,21853.20146,3,Low
43,2,517,1,0.74,4.9,18655.67049,3,Low
44,2,517,1,1,3.13,54125.09242,3,Low
45,2,517,1,1,3.17,44482.29773,3,Low
46,2,517,1,0.87,4.33,13832.83789,3,Low
47,2,517,1,0.62,4.28,18847.4642,3,Low
48,2,517,1,1,3.07,69657.12922,3,Low
49,2,517,1,1,3.17,38267.15086,3,Low
50,2,517,1,1,3.2,38137.52266,3,Low
51,2,517,1,1,3,81713.96543,3,Low
52,2,517,1,1,3.02,72091.18855,3,Low
53,2,517,1,1,3.13,63322.50359,3,Low
54,2,517,1,1,3.26,43133.2557,3,Low
55,2,517,1,0.99,3.21,41607.88381,3,Low
56,2,517,1,1,3.2,42570.10701,3,Low
57,2,517,1,1,3.05,75784.45367,3,Low
58,2,517,1,1,3.15,54631.56145,3,Low
59,2,517,1,1,3.13,53994.36658,3,Low
0,8,554,0,1,10.93,28665.05879,6,High
1,8,554,0,1,6.89,93523.46652,6,High
2,8,554,0,0.94,9.16,57577.2377,6,High
3,8,554,0,0.02,7.52,75949.7866,6,High
4,8,554,0,1,6.81,150590.9773,6,High
5,8,554,0,1,7.43,99285.77832,6,High
6,8,554,0,1,7.86,67753.06152,6,High
7,8,554,0,0.84,12.1,48225.25254,6,High
8,8,554,0,1,8.24,64250.28508,6,High
9,8,554,0,0.99,6.92,145999.5938,6,High
10,8,554,0,0.98,7.89,80472.11867,6,High
11,8,554,0,0.01,9.92,80315.38555,6,High
12,8,554,0,0.85,11.11,45586.00988,6,High
13,8,554,0,0.19,10.39,30696.60711,6,High
14,8,554,0,0.21,10.86,29710.80332,6,High
15,8,554,0,0.02,7.76,73003.23105,6,High
16,8,554,0,0.03,7.43,76010.67504,6,High
17,8,554,0,0.18,11.14,46946.13453,6,High
18,8,554,0,1,7.13,73030.44902,6,High
19,8,554,0,0.15,10.14,47544.41949,6,High
20,8,554,0,1,6.67,66948.21727,6,High
21,8,554,0,0.74,11.14,38265.02922,6,High
22,8,554,0,1,8.67,46823.05273,6,High
23,8,554,0,0.99,9.72,44347.94516,6,High
24,8,554,0,0.88,10.87,35332.10184,6,High
25,8,554,0,0.99,10.59,43911.4291,6,High
26,8,554,0,0.99,10.17,44645.1182,6,High
27,8,554,0,0.98,8.74,33523.9348,6,High
28,8,554,0,1,7.41,72942.08984,6,High
29,8,554,0,0,9.4,39828.92516,6,High
30,8,554,0,0,9.43,37066.89813,6,High
31,8,554,0,0.76,11.34,32115.66492,6,High
32,8,554,0,0.93,10.14,40672.15723,6,High
33,8,554,0,0.97,9.29,46994.20832,6,High
34,8,554,0,1,6.25,107820.0037,6,High
35,8,554,0,1,6.22,139625.0263,6,High
36,8,554,0,1,6.35,111570.4823,6,High
37,8,554,0,1,7.62,58630.05371,6,High
38,8,554,0,0,7.55,114042.3749,6,High
39,8,554,0,1,6.74,75475.31582,6,High
40,8,554,0,0.81,12.15,21792.96668,6,High
41,8,554,0,1,7.92,76572.17754,6,High
42,8,554,0,0.97,7.04,64066.14984,6,High
43,8,554,0,0.52,11.2,31170.70309,6,High
44,8,554,0,1,7.41,55315.25633,6,High
45,8,554,0,0.98,8.76,44634.28672,6,High
46,8,554,0,1,7.96,59749.42172,6,High
47,8,554,0,0.73,12.65,30392.68289,6,High
48,8,554,0,0.95,7.38,68071.70391,6,High
49,8,554,0,1,6.78,59275.49281,6,High
50,8,554,0,1,6.76,57017.54744,6,High
51,8,554,0,1,7.66,64408.77008,6,High
52,8,554,0,0.16,9.99,34718.39887,6,High
53,8,554,0,1,6,263680.5827,6,High
54,8,554,0,0.96,12.26,32921.61309,6,High
55,8,554,0,1,7.55,67415.04473,6,High
56,8,554,0,1,7.39,66523.95453,6,High
57,8,554,0,1,7.02,97269.72227,6,High
58,8,554,0,1,7.12,69238.62895,6,High
59,8,554,0,1,7.18,67139.815,6,High
0,8,583,1,0.81,5.3,8445.56978,3,Low
1,8,583,1,0.38,4.75,13644.45152,3,Low
2,8,583,1,0.01,4.82,17579.90882,3,Low
3,8,583,1,0.99,4.06,27750.29682,3,Low
4,8,583,1,0.02,5.26,18315.10227,3,Low
5,8,583,1,0.95,5.36,25412.55045,3,Low
6,8,583,1,0.94,4.45,25610.04826,3,Low
7,8,583,1,0.17,6.27,16704.23246,3,Low
8,8,583,1,0.93,4.06,23065.14587,3,Low
9,8,583,1,0.21,4.51,34349.65652,3,Low
10,8,583,1,0.12,4.3,28023.9426,3,Low
11,8,583,1,0,5.22,31358.91086,3,Low
12,8,583,1,1,3.61,35039.65934,3,Low
13,8,583,1,0.02,4.49,10398.50784,3,Low
14,8,583,1,0.02,4.3,10512.39894,3,Low
15,8,583,1,0.99,4.13,25292.49564,3,Low
16,8,583,1,0.98,4.41,27654.29846,3,Low
17,8,583,1,0,5.4,18966.39107,3,Low
18,8,583,1,0.21,5.21,12748.17373,3,Low
19,8,583,1,0.38,6.15,15950.99369,3,Low
20,8,583,1,0.96,4.73,18517.94469,3,Low
21,8,583,1,0.38,6.29,12382.73375,3,Low
22,8,583,1,0.63,6.56,8604.80623,3,Low
23,8,583,1,0.02,3.98,23399.41938,3,Low
24,8,583,1,0.73,5.71,13928.05229,3,Low
25,8,583,1,0.03,3.98,23756.7223,3,Low
26,8,583,1,0.02,4.03,24028.62537,3,Low
27,8,583,1,0.03,4.38,14378.32289,3,Low
28,8,583,1,0.23,4.4,17252.68947,3,Low
29,8,583,1,0,5.7,17183.5715,3,Low
30,8,583,1,0,5.76,14259.63008,3,Low
31,8,583,1,0,4.57,19875.57258,3,Low
32,8,583,1,0.2,5.09,16387.77695,3,Low
33,8,583,1,0.17,6.22,13053.69178,3,Low
34,8,583,1,0.07,4.62,16859.07928,3,Low
35,8,583,1,1,3.73,37342.40605,3,Low
36,8,583,1,0.07,4.84,16836.37074,3,Low
37,8,583,1,0.07,4.64,11119.51597,3,Low
38,8,583,1,0,3.63,31782.04816,3,Low
39,8,583,1,0.48,5.46,12852.34504,3,Low
40,8,583,1,0.34,5.37,6817.845674,3,Low
41,8,583,1,0.58,4.44,20936.55719,3,Low
42,8,583,1,0.01,5.45,12118.0049,3,Low
43,8,583,1,0.86,5.6,17774.20362,3,Low
44,8,583,1,1,4.14,20820.80117,3,Low
45,8,583,1,0.11,4.73,14359.60725,3,Low
46,8,583,1,0.57,5.79,10630.30802,3,Low
47,8,583,1,0.8,4.75,18548.26561,3,Low
48,8,583,1,0.01,4.34,25539.65908,3,Low
49,8,583,1,0.03,4.92,14800.33557,3,Low
50,8,583,1,0.05,4.92,13640.4632,3,Low
51,8,583,1,0.02,3.84,27488.86717,3,Low
52,8,583,1,0.06,4.06,17387.44934,3,Low
53,8,583,1,0.91,4.06,21310.54547,3,Low
54,8,583,1,0.73,5.46,12766.60534,3,Low
55,8,583,1,0.06,5.61,12190.08967,3,Low
56,8,583,1,0.1,5.62,12179.17653,3,Low
57,8,583,1,0.14,5.88,13145.94551,3,Low
58,8,583,1,0.76,4.7,13472.23546,3,Low
59,8,583,1,0.8,4.75,15695.6499,3,Low
0,3,615,1,0.99,4.02,15757.37213,3,High
1,3,615,1,1,3.17,56362.96771,3,High
2,3,615,1,0,3.77,24521.59121,3,High
3,3,615,1,0.87,4.29,26235.98828,3,High
4,3,615,1,0.85,5.5,29848.92018,3,High
5,3,615,1,0.15,5.87,19959.87049,3,High
6,3,615,1,0.87,5.24,28440.0525,3,High
7,3,615,1,0.69,5.1,19200.11967,3,High
8,3,615,1,0.53,5.46,17592.03127,3,High
9,3,615,1,0.26,4.86,28027.44303,3,High
10,3,615,1,0.95,3.55,55230.05289,3,High
11,3,615,1,0.01,4.18,43143.97422,3,High
12,3,615,1,0,6.09,16088.15229,3,High
13,3,615,1,1,3,85781.12695,3,High
14,3,615,1,1,3.01,86711.70465,3,High
15,3,615,1,0.97,4.43,27513.27004,3,High
16,3,615,1,0.91,4.18,25999.23697,3,High
17,3,615,1,0.29,5.34,17751.40615,3,High
18,3,615,1,0.97,3.83,35559.82355,3,High
19,3,615,1,0,5.32,23719.90666,3,High
20,3,615,1,0.72,4.74,21774.40936,3,High
21,3,615,1,0.92,5.25,20877.88227,3,High
22,3,615,1,0,5.95,8265.535806,3,High
23,3,615,1,0.66,5.62,14939.13468,3,High
24,3,615,1,0.09,8.01,12290.22256,3,High
25,3,615,1,0.66,5.61,14241.46879,3,High
26,3,615,1,0.66,5.4,13466.52002,3,High
27,3,615,1,0.98,3.93,18809.14011,3,High
28,3,615,1,1,3.48,42156.60324,3,High
29,3,615,1,0,5.14,21305.41387,3,High
30,3,615,1,0,4.96,20780.76391,3,High
31,3,615,1,0.85,4.44,21931.89637,3,High
32,3,615,1,0.02,5.39,18604.19849,3,High
33,3,615,1,0.37,5.15,11110.83285,3,High
34,3,615,1,0.96,3.7,34375.24643,3,High
35,3,615,1,0.09,5.07,16067.09316,3,High
36,3,615,1,0.96,3.62,38711.80102,3,High
37,3,615,1,1,3.57,29596.98044,3,High
38,3,615,1,0.95,3.97,31961.16896,3,High
39,3,615,1,0.6,4.78,16668.85952,3,High
40,3,615,1,0.94,4.08,13986.35253,3,High
41,3,615,1,0.03,5.68,19071.30737,3,High
42,3,615,1,0.14,5.37,10955.6757,3,High
43,3,615,1,0.94,5.05,24040.8858,3,High
44,3,615,1,0,4.02,23276.33127,3,High
45,3,615,1,0.7,5.59,13916.80277,3,High
46,3,615,1,0.07,5.45,15221.15254,3,High
47,3,615,1,0,5.39,22532.66772,3,High
48,3,615,1,0.76,5.77,14109.50308,3,High
49,3,615,1,1,3.09,53293.95682,3,High
50,3,615,1,1,3.1,54223.40291,3,High
51,3,615,1,1,3.15,49209.82559,3,High
52,3,615,1,0.81,5.24,15070.05913,3,High
53,3,615,1,0,3.69,29529.28973,3,High
54,3,615,1,1,3.14,42878.07979,3,High
55,3,615,1,0.86,5.68,16782.29082,3,High
56,3,615,1,0.88,5.45,15472.9368,3,High
57,3,615,1,0.81,5.07,24635.45133,3,High
58,3,615,1,0.92,3.82,24601.70822,3,High
59,3,615,1,0.88,3.85,23620.35182,3,High
0,6,626,0,0.6,15.8,10732.6757,6,Low
1,6,626,0,0.99,8.68,50170.27938,6,Low
2,6,626,0,0.99,7.4,78765.35,6,Low
3,6,626,0,0,7.35,90062.1043,6,Low
4,6,626,0,1,6.9,80674.38367,6,Low
5,6,626,0,0.9,8.67,55654.7541,6,Low
6,6,626,0,1,6.68,116867.6309,6,Low
7,6,626,0,0.01,7.77,80729.26738,6,Low
8,6,626,0,0.6,9.24,36969.54367,6,Low
9,6,626,0,0.66,9.59,51847.10992,6,Low
10,6,626,0,0.69,8.97,46964.56656,6,Low
11,6,626,0,0.94,7.98,107964.5445,6,Low
12,6,626,0,0,7.01,87682.33355,6,Low
13,6,626,0,0.73,10.14,20255.26566,6,Low
14,6,626,0,0.83,10.02,20789.08957,6,Low
15,6,626,0,0.01,7.27,89444.88078,6,Low
16,6,626,0,0,7.58,92230.46102,6,Low
17,6,626,0,0.35,9.19,36782.47633,6,Low
18,6,626,0,1,7.37,74578.50484,6,Low
19,6,626,0,0.99,7.73,75501.1957,6,Low
20,6,626,0,0,7.37,62203.22043,6,Low
21,6,626,0,0,6.54,112495.4616,6,Low
22,6,626,0,0.33,9.51,21435.21699,6,Low
23,6,626,0,0.87,11.85,35292.3427,6,Low
24,6,626,0,1,7.11,68377.69387,6,Low
25,6,626,0,0.92,12.57,32997.18477,6,Low
26,6,626,0,0.81,11.92,34910.6223,6,Low
27,6,626,0,1,7.05,51790.4191,6,Low
28,6,626,0,0.84,8.61,42918.81406,6,Low
29,6,626,0,0.38,9.1,42615.57945,6,Low
30,6,626,0,0.42,9.22,41506.94781,6,Low
31,6,626,0,0.94,8.38,53068.95367,6,Low
32,6,626,0,0.87,10.85,34528.28227,6,Low
33,6,626,0,0.3,11.2,24483.43594,6,Low
34,6,626,0,0.88,8.86,42832.15621,6,Low
35,6,626,0,0.89,9.04,54257.81523,6,Low
36,6,626,0,0.89,8.8,42642.26648,6,Low
37,6,626,0,0.4,12.46,16892.85148,6,Low
38,6,626,0,1,6.39,144491.6975,6,Low
39,6,626,0,0.01,10.81,44164.79717,6,Low
40,6,626,0,1,6.34,67501.17883,6,Low
41,6,626,0,0.82,8.53,40282.97027,6,Low
42,6,626,0,1,6.32,81145.85172,6,Low
43,6,626,0,1,6.41,108131.8617,6,Low
44,6,626,0,0.09,8.54,36900.96563,6,Low
45,6,626,0,0.91,7.94,54190.37359,6,Low
46,6,626,0,0.04,8.48,28977.85785,6,Low
47,6,626,0,0.51,9.18,33073.48961,6,Low
48,6,626,0,1,7.17,76777.2175,6,Low
49,6,626,0,0.91,8.13,31852.83867,6,Low
50,6,626,0,0.93,8.08,35280.08965,6,Low
51,6,626,0,0.8,8.91,39132.38953,6,Low
52,6,626,0,1,6.15,113652.5782,6,Low
53,6,626,0,1,7.01,105170.8456,6,Low
54,6,626,0,0,7.33,55809.79602,6,Low
55,6,626,0,0.48,9.65,27134.88953,6,Low
56,6,626,0,0.59,9.26,25988.82156,6,Low
57,6,626,0,0.86,11.24,31342.42344,6,Low
58,6,626,0,0.88,9,35576.39742,6,Low
59,6,626,0,0.91,8.83,34291.32457,6,Low
0,3,638,1,0.99,3.75,14513.25445,3,Low
1,3,638,1,0.95,3.65,37553.10885,3,Low
2,3,638,1,1,3.36,34284.31654,3,Low
3,3,638,1,1,3.06,73082.33012,3,Low
4,3,638,1,1,3.21,50702.69,3,Low
5,3,638,1,1,3.34,49530.71664,3,Low
6,3,638,1,1,3.06,74752.86176,3,Low
7,3,638,1,1,3.04,69865.70414,3,Low
8,3,638,1,0.96,4.02,28363.74652,3,Low
9,3,638,1,0.28,5.61,24119.63596,3,Low
10,3,638,1,1,3.21,68508.95121,3,Low
11,3,638,1,1,3.23,76224.85043,3,Low
12,3,638,1,0.52,4.95,17403.80131,3,Low
13,3,638,1,1,3.03,62189.731,3,Low
14,3,638,1,1,3.07,60732.12363,3,Low
15,3,638,1,1,3.04,71115.08641,3,Low
16,3,638,1,1,3.07,72825.31957,3,Low
17,3,638,1,1,3.12,43615.6659,3,Low
18,3,638,1,1,3.13,60041.30227,3,Low
19,3,638,1,0.01,4.68,29723.24361,3,Low
20,3,638,1,1,3.22,47745.07445,3,Low
21,3,638,1,1,3.19,46197.83533,3,Low
22,3,638,1,1,3.09,44693.25443,3,Low
23,3,638,1,0.54,5.04,11727.78832,3,Low
24,3,638,1,0,3.5,30656.47415,3,Low
25,3,638,1,0.62,5.2,10990.88395,3,Low
26,3,638,1,0.5,5.21,10414.77439,3,Low
27,3,638,1,1,3.32,24228.87528,3,Low
28,3,638,1,0.99,3.49,39194.24436,3,Low
29,3,638,1,0.72,4.98,15287.12713,3,Low
30,3,638,1,0.7,4.99,14460.87239,3,Low
31,3,638,1,0.98,3.81,33529.16256,3,Low
32,3,638,1,1,3.27,32479.24396,3,Low
33,3,638,1,0.98,4.29,21304.9916,3,Low
34,3,638,1,1,3.12,54189.44963,3,Low
35,3,638,1,0.29,5.18,24885.45771,3,Low
36,3,638,1,1,3.11,53337.61805,3,Low
37,3,638,1,1,3.1,44520.18867,3,Low
38,3,638,1,1,3.03,61325.53145,3,Low
39,3,638,1,0.99,3.51,31493.29773,3,Low
40,3,638,1,1,3.15,32570.44715,3,Low
41,3,638,1,0.25,4.07,19259.1975,3,Low
42,3,638,1,0.62,5.15,10103.19481,3,Low
43,3,638,1,0.42,4.37,13953.40346,3,Low
44,3,638,1,0.67,4.18,14262.94918,3,Low
45,3,638,1,1,3.63,28673.3084,3,Low
46,3,638,1,0.74,4.7,12453.30029,3,Low
47,3,638,1,0.03,5.11,20128.95762,3,Low
48,3,638,1,1,3.21,40323.41701,3,Low
49,3,638,1,0.99,3.21,33026.10398,3,Low
50,3,638,1,0.99,3.35,34821.54961,3,Low
51,3,638,1,1,3.37,39695.93656,3,Low
52,3,638,1,0.97,3.75,22696.89682,3,Low
53,3,638,1,0.74,4.67,18599.40699,3,Low
54,3,638,1,0.97,3.95,23557.23922,3,Low
55,3,638,1,1,3.29,36455.26707,3,Low
56,3,638,1,1,3.22,35610.13298,3,Low
57,3,638,1,1,3.04,72472.97359,3,Low
58,3,638,1,0.99,3.59,31873.7626,3,Low
59,3,638,1,0.98,3.49,31945.58,3,Low
0,2,660,0,0.45,16.9,9152.321816,6,Low
1,2,660,0,1,7.32,70443.00172,6,Low
2,2,660,0,0.34,11.71,20331.36117,6,Low
3,2,660,0,0.32,17.92,19009.11672,6,Low
4,2,660,0,0.51,16.92,23346.60516,6,Low
5,2,660,0,0.38,14.96,29022.89758,6,Low
6,2,660,0,0.16,12.45,36692.30012,6,Low
7,2,660,0,0.57,15.47,28143.08992,6,Low
8,2,660,0,0.29,14.52,22770.74855,6,Low
9,2,660,0,0.08,10.99,59131.18313,6,Low
10,2,660,0,0.98,9.83,70911.36227,6,Low
11,2,660,0,0.03,9.53,80918.5657,6,Low
12,2,660,0,0.02,12.15,23169.47359,6,Low
13,2,660,0,0.23,14.73,17371.55035,6,Low
14,2,660,0,0.28,14.66,16636.02246,6,Low
15,2,660,0,0.31,17.88,20274.33293,6,Low
16,2,660,0,0.32,18.46,22432.62664,6,Low
17,2,660,0,0.01,8.88,63179.97152,6,Low
18,2,660,0,0.39,12.36,24613.77336,6,Low
19,2,660,0,0,9.96,29599.91523,6,Low
20,2,660,0,0.01,13.45,23031.4473,6,Low
21,2,660,0,0.33,10.66,28401.50543,6,Low
22,2,660,0,0,11,31159.16992,6,Low
23,2,660,0,0,6.88,68745.20777,6,Low
24,2,660,0,0,12,38739.83908,6,Low
25,2,660,0,0,7.03,65597.39461,6,Low
26,2,660,0,0,6.76,68704.81527,6,Low
27,2,660,0,0,8.7,31328.1066,6,Low
28,2,660,0,0.97,10.56,45165.88633,6,Low
29,2,660,0,0,11.24,36096.37039,6,Low
30,2,660,0,0.02,11.29,31348.44016,6,Low
31,2,660,0,0.99,10.3,59558.00984,6,Low
32,2,660,0,1,7.53,59412.26754,6,Low
33,2,660,0,0.64,15.94,21807.88469,6,Low
34,2,660,0,0.49,10.64,26536.79668,6,Low
35,2,660,0,0.35,12.37,39977.62297,6,Low
36,2,660,0,0.55,10.64,25501.22316,6,Low
37,2,660,0,0,12.8,25737.11252,6,Low
38,2,660,0,1,7.16,85079.05844,6,Low
39,2,660,0,0.1,10.69,40334.02627,6,Low
40,2,660,0,0.62,13.43,12797.72865,6,Low
41,2,660,0,0.1,14.91,27284.92492,6,Low
42,2,660,0,0,14.57,15755.98428,6,Low
43,2,660,0,0.01,15.94,22109.59945,6,Low
44,2,660,0,0.18,14.04,20429.09258,6,Low
45,2,660,0,1,6.91,70765.81254,6,Low
46,2,660,0,0.5,16.59,16937.34541,6,Low
47,2,660,0,0.69,12.74,28256.40543,6,Low
48,2,660,0,0,10.7,27810.85859,6,Low
49,2,660,0,0.22,14.22,19205.8883,6,Low
50,2,660,0,0.26,14.65,18335.10447,6,Low
51,2,660,0,0.7,13.35,23703.42711,6,Low
52,2,660,0,0.79,12.82,19598.20076,6,Low
53,2,660,0,0.94,11.73,34682.93877,6,Low
54,2,660,0,0.91,10.23,38675.06586,6,Low
55,2,660,0,0.1,15.03,18876.22168,6,Low
56,2,660,0,0.09,15.25,16879.12621,6,Low
57,2,660,0,0.92,14.11,34770.64555,6,Low
58,2,660,0,0.02,10.25,46430.34445,6,Low
59,2,660,0,0.04,10.14,43975.06313,6,Low
0,7,668,0,0.43,13.98,14934.70907,6,High
1,7,668,0,0.35,17.26,15715.16158,6,High
2,7,668,0,0.21,8,61819.65352,6,High
3,7,668,0,0.19,15.18,30441.63609,6,High
4,7,668,0,0.89,10.62,46371.72637,6,High
5,7,668,0,0.06,15.48,33895.53355,6,High
6,7,668,0,0.61,13.73,35719.92031,6,High
7,7,668,0,0,11.72,47832.40738,6,High
8,7,668,0,0.74,10.28,52358.46773,6,High
9,7,668,0,0.94,11.02,82456.48328,6,High
10,7,668,0,0.57,13.3,41700.95391,6,High
11,7,668,0,0.01,6.76,172023.2945,6,High
12,7,668,0,0.48,12.04,30046.60246,6,High
13,7,668,0,0,6.96,62140.58516,6,High
14,7,668,0,0,6.66,62105.28016,6,High
15,7,668,0,0.31,15.05,25821.14074,6,High
16,7,668,0,0.24,15.44,27035.59793,6,High
17,7,668,0,0.66,8.91,39913.30531,6,High
18,7,668,0,0.68,13.64,30256.50906,6,High
19,7,668,0,0.01,7.92,80862.01258,6,High
20,7,668,0,0.95,8.07,60569.54938,6,High
21,7,668,0,0.74,12,36643.46082,6,High
22,7,668,0,0.06,10.22,37810.37914,6,High
23,7,668,0,0.31,12.91,23766.47953,6,High
24,7,668,0,0.07,19.56,23128.93688,6,High
25,7,668,0,0.25,14.04,24428.82813,6,High
26,7,668,0,0.34,14.21,24542.1798,6,High
27,7,668,0,0.99,8.27,35873.74201,6,High
28,7,668,0,0.04,14.24,24414.54438,6,High
29,7,668,0,0.66,9.43,48921.54078,6,High
30,7,668,0,0.65,9.66,53263.73203,6,High
31,7,668,0,0,13.13,30724.7584,6,High
32,7,668,0,0,10.4,39231.66063,6,High
33,7,668,0,0,12.89,20592.37055,6,High
34,7,668,0,0.55,10.64,39117.54367,6,High
35,7,668,0,0.98,10.87,62635.33801,6,High
36,7,668,0,0.52,10.55,40748.77246,6,High
37,7,668,0,0.8,10.57,29956.29645,6,High
38,7,668,0,0.34,11.87,32062.20406,6,High
39,7,668,0,0,10.13,57618.18473,6,High
40,7,668,0,0.73,11.4,17904.87006,6,High
41,7,668,0,0.3,13.27,36641.10332,6,High
42,7,668,0,0.99,6.71,55589.36336,6,High
43,7,668,0,0,15.66,34228.06293,6,High
44,7,668,0,0.86,12.44,34674.73322,6,High
45,7,668,0,0.04,13.02,33982.87309,6,High
46,7,668,0,0,14.07,16246.44186,6,High
47,7,668,0,0,13.55,38366.34715,6,High
48,7,668,0,0.44,9.25,33098.4659,6,High
49,7,668,0,0.55,13.35,26239.3598,6,High
50,7,668,0,0.55,12.1,29047.88973,6,High
51,7,668,0,0.92,9.34,44706.5748,6,High
52,7,668,0,0.97,8.29,48174.4382,6,High
53,7,668,0,0.57,12.81,31152.58887,6,High
54,7,668,0,0.91,9.38,39450.22074,6,High
55,7,668,0,0.89,12.92,33837.74777,6,High
56,7,668,0,0.89,12.87,32783.77797,6,High
57,7,668,0,0,11.8,57778.8693,6,High
58,7,668,0,0.09,12.95,27614.65574,6,High
59,7,668,0,0.07,12.42,30094.88367,6,High
0,7,685,0,0.07,13.24,22616.74963,6,High
1,7,685,0,0,8.59,63140.14688,6,High
2,7,685,0,0.74,13.54,30970.49918,6,High
3,7,685,0,0,10.84,38099.41898,6,High
4,7,685,0,0.73,14.41,41648.85297,6,High
5,7,685,0,0,13.72,28467.53801,6,High
6,7,685,0,0.18,15.61,41716.27492,6,High
7,7,685,0,0,8.09,68046.37254,6,High
8,7,685,0,0,11.74,32024.70398,6,High
9,7,685,0,0.82,9.96,68319.76531,6,High
10,7,685,0,0.03,11.1,61291.96367,6,High
11,7,685,0,0.99,7.95,121496.2766,6,High
12,7,685,0,0.89,10.41,45144.53848,6,High
13,7,685,0,0,6.21,108074.3625,6,High
14,7,685,0,0,6.16,102501.4376,6,High
15,7,685,0,0,10.41,32509.15387,6,High
16,7,685,0,0,10.63,37843.93059,6,High
17,7,685,0,0.83,10.21,47118.83043,6,High
18,7,685,0,0.16,10.99,46641.19621,6,High
19,7,685,0,0.98,11.78,57268.87086,6,High
20,7,685,0,1,8.87,65801.52305,6,High
21,7,685,0,0.97,7.89,84689.45445,6,High
22,7,685,0,0.44,16.12,20003.78637,6,High
23,7,685,0,0.01,11.04,43877.65684,6,High
24,7,685,0,0,13.41,53590.96662,6,High
25,7,685,0,0.01,10.65,43221.64836,6,High
26,7,685,0,0.02,10.43,44956.76297,6,High
27,7,685,0,0.15,11.77,23419.39195,6,High
28,7,685,0,0,11.42,40498.17348,6,High
29,7,685,0,0.43,10.7,34581.16543,6,High
30,7,685,0,0.43,10.43,37052.81379,6,High
